date,traffic
06/06/2023 16:15,8184.475
06/06/2023 16:30,8335.504
06/06/2023 16:45,8362.146
06/06/2023 17:00,8367.322
06/06/2023 17:15,8202.556
06/06/2023 17:30,7964.438
06/06/2023 17:45,7744.3
06/06/2023 18:00,7600.833
06/06/2023 18:15,7300.637
06/06/2023 18:30,7120.86
06/06/2023 18:45,6854.164
06/06/2023 19:00,6828.235
06/06/2023 19:15,6738.809
06/06/2023 19:30,6460.186
06/06/2023 19:45,6154.191
06/06/2023 20:00,6135.379
06/06/2023 20:15,5817.305
06/06/2023 20:30,5308.037
06/06/2023 20:45,4675.724
06/06/2023 21:00,4212.063
06/06/2023 21:15,3684.461
06/06/2023 21:30,3324.909
06/06/2023 21:45,2801.983
06/06/2023 22:00,2430.85
06/06/2023 22:15,2159.98
06/06/2023 22:30,1843.849
06/06/2023 22:45,1516.417
06/06/2023 23:00,1276.919
06/06/2023 23:15,1086.258
06/06/2023 23:30,949.033
06/06/2023 23:45,820.224
07/06/2023 00:00,726.464
07/06/2023 00:15,574.703
07/06/2023 00:30,493.656
07/06/2023 00:45,449.121
07/06/2023 01:00,385.623
07/06/2023 01:15,348.071
07/06/2023 01:30,313.538
07/06/2023 01:45,273.704
07/06/2023 02:00,242.924
07/06/2023 02:15,228.734
07/06/2023 02:30,219.273
07/06/2023 02:45,202.668
07/06/2023 03:00,202.329
07/06/2023 03:15,184.1
07/06/2023 03:30,181.143
07/06/2023 03:45,178.894
07/06/2023 04:00,201.244
07/06/2023 04:15,211.097
07/06/2023 04:30,239.432
07/06/2023 04:45,278.998
07/06/2023 05:00,353.98
07/06/2023 05:15,440.802
07/06/2023 05:30,628.216
07/06/2023 05:45,871.999
07/06/2023 06:00,1224.38
07/06/2023 06:15,1520.921
07/06/2023 06:30,1950.993
07/06/2023 06:45,2295.365
07/06/2023 07:00,2778.864
07/06/2023 07:15,3240.94
07/06/2023 07:30,3788.119
07/06/2023 07:45,4200.202
07/06/2023 08:00,4907.847
07/06/2023 08:15,5500.619
07/06/2023 08:30,6174.93
07/06/2023 08:45,6733.128
07/06/2023 09:00,7335.819
07/06/2023 09:15,7649.64
07/06/2023 09:30,7967.51
07/06/2023 09:45,8174.477
07/06/2023 10:00,8318.694
07/06/2023 10:15,8340.073
